geo,TIME_PERIOD,OBS_VALUE,
AD,2012,78115,
AD,2013,76246,
AD,2016,71732,
AD,2018,74794,
AD,2019,76177,
AD,2020,77543,
AD,2022,79535,
AD,2023,81588,
AL,2012,2903008,
AL,2013,2897770,
AL,2014,2892394,
AL,2015,2885796,
AL,2016,2875592,
AL,2017,2876591,
AL,2018,2870324,
AL,2019,2862427,
AL,2020,2845955,
AL,2021,2829741,
AL,2022,2793592,
AL,2023,2761785,
AM,2012,3274285,
AM,2013,3026878,
AM,2014,3017079,
AM,2015,3010598,
AM,2016,2998577,
AM,2017,2986151,
AM,2018,2972732,
AM,2019,2965269,
AM,2020,2959694,
AM,2021,2963251,
AM,2023,2977130,
AT,2012,8408121,
AT,2013,8451860,
AT,2014,8507786,
AT,2015,8584926,
AT,2016,8700471,
AT,2017,8772865,
AT,2018,8822267,
AT,2019,8858775,
AT,2020,8901064,
AT,2021,8932664,
AT,2022,8978929,
AT,2023,9104772,
AZ,2012,9235085,
AZ,2013,9356483,
AZ,2014,9477119,
AZ,2015,9593038,
AZ,2016,9705643,
AZ,2017,9809981,
AZ,2018,9898085,
AZ,2019,9981457,
AZ,2020,10067108,
AZ,2021,10119133,
AZ,2022,10156366,
AZ,2023,10127145,
BA,2012,3839265,
BA,2013,3835645,
BA,2014,3830911,
BA,2015,3825334,
BA,2016,3515982,
BA,2017,3509728,
BA,2018,3500295,
BA,2019,3492018,
BE,2012,11075889,
BE,2013,11137974,
BE,2014,11180840,
BE,2015,11237274,
BE,2016,11311117,
BE,2017,11351727,
BE,2018,11398589,
BE,2019,11455519,
BE,2020,11522440,
BE,2021,11554767,
BE,2022,11617623,
BE,2023,11754004,
BG,2012,7327224,
BG,2013,7284552,
BG,2014,7245677,
BG,2015,7202198,
BG,2016,7153784,
BG,2017,7101859,
BG,2018,7050034,
BG,2019,7000039,
BG,2020,6951482,
BG,2021,6916548,
BG,2022,6838937,
BG,2023,6447710,
BY,2012,9465150,
BY,2013,9463840,
BY,2014,9468154,
BY,2015,9480868,
BY,2016,9498364,
BY,2017,9504704,
BY,2018,9491823,
BY,2019,9475174,
BY,2020,9408350,
CH,2012,7954662,
CH,2013,8039060,
CH,2014,8139631,
CH,2015,8237666,
CH,2016,8327126,
CH,2017,8419550,
CH,2018,8484130,
CH,2019,8544527,
CH,2020,8606033,
CH,2021,8670300,
CH,2022,8738791,
CH,2023,8812728,
CY,2012,862011,
CY,2013,865878,
CY,2014,858000,
CY,2015,847008,
CY,2016,848319,
CY,2017,854802,
CY,2018,864236,
CY,2019,875899,
CY,2020,888005,
CY,2021,896007,
CY,2022,904705,
CY,2023,920701,
CZ,2012,10505445,
CZ,2013,10516125,
CZ,2014,10512419,
CZ,2015,10538275,
CZ,2016,10553843,
CZ,2017,10578820,
CZ,2018,10610055,
CZ,2019,10649800,
CZ,2020,10693939,
CZ,2021,10494836,
CZ,2022,10516707,
CZ,2023,10827529,
DE,2012,80327900,
DE,2013,80523746,
DE,2014,80767463,
DE,2015,81197537,
DE,2016,82175684,
DE,2017,82521653,
DE,2018,82792351,
DE,2019,83019213,
DE,2020,83166711,
DE,2021,83155031,
DE,2022,83237124,
DE,2023,84358845,
DK,2012,5580516,
DK,2013,5602628,
DK,2014,5627235,
DK,2015,5659715,
DK,2016,5707251,
DK,2017,5748769,
DK,2018,5781190,
DK,2019,5806081,
DK,2020,5822763,
DK,2021,5840045,
DK,2022,5873420,
DK,2023,5932654,
EA19,2012,335288924,
EA19,2013,336044966,
EA19,2014,337764352,
EA19,2015,338562121,
EA19,2016,339787987,
EA19,2017,340541142,
EA19,2018,341253004,
EA19,2019,341636902,
EA19,2020,342574791,
EA19,2021,342561034,
EA19,2022,342805884,
EA19,2023,345405146,
EA20,2012,339564908,
EA20,2013,340307106,
EA20,2014,342011161,
EA20,2015,342787437,
EA20,2016,343978656,
EA20,2017,344695355,
EA20,2018,345358497,
EA20,2019,345713148,
EA20,2020,346632956,
EA20,2021,346670757,
EA20,2022,346731402,
EA20,2023,349256040,
EE,2012,1325217,
EE,2013,1320174,
EE,2014,1315819,
EE,2015,1314870,
EE,2016,1315944,
EE,2017,1315635,
EE,2018,1319133,
EE,2019,1324820,
EE,2020,1328976,
EE,2021,1330068,
EE,2022,1331796,
EE,2023,1365884,
EL,2012,11086406,
EL,2013,11003615,
EL,2014,10926807,
EL,2015,10858018,
EL,2016,10783748,
EL,2017,10768193,
EL,2018,10741165,
EL,2019,10724599,
EL,2020,10718565,
EL,2021,10678632,
EL,2022,10459782,
EL,2023,10394055,
ES,2012,46818219,
ES,2013,46727890,
ES,2014,46512199,
ES,2015,46449565,
ES,2016,46440099,
ES,2017,46528024,
ES,2018,46658447,
ES,2019,46937060,
ES,2020,47332614,
ES,2021,47398695,
ES,2022,47432893,
ES,2023,48059777,
EU27_2020,2012,440552661,
EU27_2020,2013,441257711,
EU27_2020,2014,442883888,
EU27_2020,2015,443666812,
EU27_2020,2016,444802830,
EU27_2020,2017,445534430,
EU27_2020,2018,446208557,
EU27_2020,2019,446559279,
EU27_2020,2020,447485231,
EU27_2020,2021,447000548,
EU27_2020,2022,446735291,
EU27_2020,2023,448387872,
FI,2012,5401267,
FI,2013,5426674,
FI,2014,5451270,
FI,2015,5471753,
FI,2016,5487308,
FI,2017,5503297,
FI,2018,5513130,
FI,2019,5517919,
FI,2020,5525292,
FI,2021,5533793,
FI,2022,5548241,
FI,2023,5563970,
FR,2012,65276983,
FR,2013,65600350,
FR,2014,66165980,
FR,2015,66458153,
FR,2016,66638391,
FR,2017,66809816,
FR,2018,67026224,
FR,2019,67290471,
FR,2020,67485531,
FR,2021,67656682,
FR,2022,67871925,
FR,2023,68070697,
FX,2012,63375971,
FX,2013,63697865,
GE,2012,4497617,
GE,2014,4490498,
GE,2015,3729500,
GE,2016,3720400,
GE,2017,3726374,
GE,2018,3729633,
GE,2019,3723464,
GE,2020,3716858,
GE,2021,3728573,
GE,2022,3688647,
GE,2023,3736357,
HR,2012,4275984,
HR,2013,4262140,
HR,2014,4246809,
HR,2015,4225316,
HR,2016,4190669,
HR,2017,4154213,
HR,2018,4105493,
HR,2019,4076246,
HR,2020,4058165,
HR,2021,4036355,
HR,2022,3862305,
HR,2023,3850894,
HU,2012,9931925,
HU,2013,9908798,
HU,2014,9877365,
HU,2015,9855571,
HU,2016,9830485,
HU,2017,9797561,
HU,2018,9778371,
HU,2019,9772756,
HU,2020,9769526,
HU,2021,9730772,
HU,2022,9689010,
HU,2023,9597085,
IE,2012,4589287,
IE,2013,4609779,
IE,2014,4637852,
IE,2015,4677627,
IE,2016,4726286,
IE,2017,4784383,
IE,2018,4830392,
IE,2019,4904240,
IE,2020,4964440,
IE,2021,5006324,
IE,2022,5060004,
IE,2023,5194336,
IS,2012,319575,
IS,2013,321857,
IS,2014,325671,
IS,2015,329100,
IS,2016,332529,
IS,2017,338349,
IS,2018,348450,
IS,2019,356991,
IS,2020,364134,
IS,2021,368792,
IS,2022,376248,
IS,2023,387758,
IT,2012,59394207,
IT,2013,59685227,
IT,2014,60782668,
IT,2015,60795612,
IT,2016,60665551,
IT,2017,60589445,
IT,2018,60483973,
IT,2019,59816673,
IT,2020,59641488,
IT,2021,59236213,
IT,2022,59030133,
IT,2023,58850717,
LI,2012,36475,
LI,2013,36838,
LI,2014,37129,
LI,2015,37366,
LI,2016,37622,
LI,2017,37810,
LI,2018,38114,
LI,2019,38378,
LI,2020,38747,
LI,2021,39055,
LI,2022,39308,
LI,2023,39679,
LT,2012,3003641,
LT,2013,2971905,
LT,2014,2943472,
LT,2015,2921262,
LT,2016,2888558,
LT,2017,2847904,
LT,2018,2808901,
LT,2019,2794184,
LT,2020,2794090,
LT,2021,2795680,
LT,2022,2805998,
LT,2023,2857279,
LU,2012,524853,
LU,2013,537039,
LU,2014,549680,
LU,2015,562958,
LU,2016,576249,
LU,2017,590667,
LU,2018,602005,
LU,2019,613894,
LU,2020,626108,
LU,2021,634730,
LU,2022,645397,
LU,2023,660809,
LV,2012,2044813,
LV,2013,2023825,
LV,2014,2001468,
LV,2015,1986096,
LV,2016,1968957,
LV,2017,1950116,
LV,2018,1934379,
LV,2019,1919968,
LV,2020,1907675,
LV,2021,1893223,
LV,2022,1875757,
LV,2023,1883008,
MC,2015,37700,
MC,2016,38200,
MC,2018,38300,
MC,2019,38300,
MD,2012,3559541,
MD,2013,3559497,
MD,2014,2869226,
MD,2015,2844673,
MD,2016,2824387,
MD,2017,2779952,
MD,2018,2730364,
MD,2019,2686064,
MD,2020,2640438,
MD,2021,2597107,
MD,2022,2603729,
MD,2023,2512758,
ME,2012,620308,
ME,2013,620893,
ME,2014,621521,
ME,2015,622099,
ME,2016,622218,
ME,2017,622387,
ME,2018,622359,
ME,2019,622182,
ME,2020,621873,
ME,2021,620739,
ME,2022,617683,
ME,2023,616695,
MK,2012,2059794,
MK,2013,2062294,
MK,2014,2065769,
MK,2015,2069172,
MK,2016,2071278,
MK,2017,2073702,
MK,2018,2075301,
MK,2019,2077132,
MK,2020,2076255,
MK,2021,2068808,
MK,2022,1837114,
MK,2023,1829954,
MT,2012,417546,
MT,2013,422509,
MT,2014,429424,
MT,2015,439691,
MT,2016,450415,
MT,2017,460297,
MT,2018,475701,
MT,2019,493559,
MT,2020,514564,
MT,2021,516100,
MT,2022,520971,
MT,2023,542051,
NL,2012,16730348,
NL,2013,16779575,
NL,2014,16829289,
NL,2015,16900726,
NL,2016,16979120,
NL,2017,17081507,
NL,2018,17181084,
NL,2019,17282163,
NL,2020,17407585,
NL,2021,17475415,
NL,2022,17590672,
NL,2023,17811291,
NO,2012,4985870,
NO,2013,5051275,
NO,2014,5107970,
NO,2015,5166493,
NO,2016,5210721,
NO,2017,5258317,
NO,2018,5295619,
NO,2019,5328212,
NO,2020,5367580,
NO,2021,5391369,
NO,2022,5425270,
NO,2023,5488984,
PL,2012,38063792,
PL,2013,38062535,
PL,2014,38017856,
PL,2015,38005614,
PL,2016,37967209,
PL,2017,37972964,
PL,2018,37976687,
PL,2019,37972812,
PL,2020,37958138,
PL,2021,37840001,
PL,2022,37654247,
PL,2023,36753736,
PT,2012,10542398,
PT,2013,10487289,
PT,2014,10427301,
PT,2015,10374822,
PT,2016,10341330,
PT,2017,10309573,
PT,2018,10291027,
PT,2019,10276617,
PT,2020,10295909,
PT,2021,10298252,
PT,2022,10352042,
PT,2023,10467366,
RO,2012,20095996,
RO,2013,20020074,
RO,2014,19947311,
RO,2015,19870647,
RO,2016,19760585,
RO,2017,19643949,
RO,2018,19533481,
RO,2019,19414458,
RO,2020,19328838,
RO,2021,19201662,
RO,2022,19042455,
RO,2023,19051562,
RS,2012,7216649,
RS,2013,7181505,
RS,2014,7146759,
RS,2015,7114393,
RS,2016,7076372,
RS,2017,7040272,
RS,2018,7001444,
RS,2019,6963764,
RS,2020,6926705,
RS,2021,6871547,
RS,2022,6797105,
RS,2023,6664449,
RU,2012,143056383,
RU,2014,143666931,
SE,2012,9482855,
SE,2013,9555893,
SE,2014,9644864,
SE,2015,9747355,
SE,2016,9851017,
SE,2017,9995153,
SE,2018,10120242,
SE,2019,10230185,
SE,2020,10327589,
SE,2021,10379295,
SE,2022,10452326,
SE,2023,10521556,
SI,2012,2055496,
SI,2013,2058821,
SI,2014,2061085,
SI,2015,2062874,
SI,2016,2064188,
SI,2017,2065895,
SI,2018,2066880,
SI,2019,2080908,
SI,2020,2095861,
SI,2021,2108977,
SI,2022,2107180,
SI,2023,2116792,
SK,2012,5404322,
SK,2013,5410836,
SK,2014,5415949,
SK,2015,5421349,
SK,2016,5426252,
SK,2017,5435343,
SK,2018,5443120,
SK,2019,5450421,
SK,2020,5457873,
SK,2021,5459781,
SK,2022,5434712,
SK,2023,5428792,
SM,2012,33376,
SM,2013,33562,
SM,2014,32520,
SM,2015,32789,
SM,2016,33005,
SM,2017,33196,
SM,2018,34453,
SM,2019,34590,
SM,2020,34735,
SM,2021,34805,
SM,2022,33698,
SM,2023,33812,
TR,2012,74724269,
TR,2013,75627384,
TR,2014,76667864,
TR,2015,77695904,
TR,2016,78741053,
TR,2017,79814871,
TR,2018,80810525,
TR,2019,82003882,
TR,2020,83154997,
TR,2021,83614362,
TR,2022,84680273,
TR,2023,85279553,
UA,2012,45453282,
UA,2013,45372692,
UA,2014,45245894,
UA,2015,42759661,
UA,2016,42590879,
UA,2017,42414905,
UA,2018,42216766,
UA,2019,41983564,
UA,2020,41732779,
UA,2021,41418717,
UA,2022,40997698,
UK,2012,63495088,
UK,2013,63905342,
UK,2014,64351203,
UK,2015,64853393,
UK,2016,65379044,
UK,2017,65844142,
UK,2018,66273576,
UK,2019,66647112,
UK,2020,67025542,
XK,2012,1780021,
XK,2013,1815606,
XK,2014,1820631,
XK,2015,1804944,
XK,2016,1771604,
XK,2017,1783531,
XK,2018,1798506,
XK,2019,1795666,
XK,2020,1782115,
XK,2021,1798188,
